1,55
2,61
3,62
4,70
5,62
6,76
7,42
8,70
9,77
10,55
11,43
12,55
13,58
14,100
15,89
16,70
17,67
18,57
19,56
20,78
21,72
22,77
23,76
24,46
25,86
26,54
27,45
28,62
29,32
30,66
31,65
32,80
33,35
34,71
35,58
36,88
37,51
38,62
39,42
40,42
41,82
42,46
43,68
44,47
45,42
46,30
47,31
48,67
49,30
50,42
51,25
52,50
53,20
54,52
55,44
56,72
57,26
58,27
59,51
60,25
61,58
62,31
63,6
64,17
65,48
66,48
67,33
68,42
69,20
70,22
71,43
72,14
73,51
74,8
75,33
76,37
77,1
78,2
79,15
80,42
81,26
82,24
83,60
84,-5
85,0
86,36
87,6
88,12
89,55
90,8
91,36
92,50
93,12
94,66
95,22
96,37
97,32
98,28
99,37
100,36
101,24
102,40
103,56
104,30
105,55
106,37
107,-3
108,21
109,34
110,23
111,27
112,45
113,27
114,48
115,50
116,12
117,21
118,38
119,1
120,40
121,8
122,36
123,52
124,26
125,21
126,51
127,32
128,25
129,82
130,9
131,42
132,45
133,25
134,4
135,47
136,36
137,56
138,29
139,-10
140,32
141,14
142,20
143,25
144,38
145,15
146,37
147,18
148,-4
149,8
150,16
151,33
152,31
153,9
154,26
155,66
156,44
157,-9
158,22
159,20
160,30
161,7
162,26
163,16
164,27
165,20
166,20
167,85
168,5
169,37
170,13
171,37
172,38
173,9
174,23
175,35
176,33
177,-7
178,9
179,7
180,40
181,37
182,32
183,28
184,45
185,34
186,12
187,17
188,32
189,20
190,54
191,48
192,46
193,32
194,24
195,26
196,5
197,50
198,7
199,20
200,38
201,13
202,23
203,18
204,68
205,32
206,25
207,71
208,23
209,9
210,42
211,13
212,37
213,27
214,29
215,58
216,28
217,44
218,45
219,14
220,23
221,35
222,29
223,48
224,38
225,17
226,52
227,5
228,29
229,56
230,62
231,32
232,9
233,41
234,32
235,18
236,7
237,-3
238,25
239,25
240,41
241,32
242,20
243,18
244,38
245,33
246,15
247,34
248,26
249,37
250,38
251,-10
252,40
253,5
254,23
255,14
256,25
257,23
258,24
259,30
260,36
261,15
262,22
263,49
264,24
265,35
266,34
267,29
268,23
269,31
270,23
271,17
272,55
273,-14
274,24
275,7
276,35
277,21
278,20
279,42
280,29
281,42
282,55
283,21
284,16
285,29
286,18
287,12
288,60
289,22
290,24
291,37
292,43
293,26
294,52
295,4
296,26
297,26
298,49
299,62
300,29
301,0
302,43
303,26
304,33
305,20
306,26
307,16
308,40
309,47
310,5
311,55
312,37
313,46
314,13
315,31
316,9
317,20
318,57
319,18
320,9
321,41
322,17
323,55
324,27
325,62
326,20
327,31
328,24
329,11
330,14
331,36
332,14
333,29
334,51
335,43
336,33
337,53
338,-12
339,49
340,40
341,-10
342,-4
343,18
344,32
345,-11
346,14
347,44
348,38
349,20
350,62
351,30
352,44
353,33
354,17
355,32
356,-10
357,46
358,25
359,20
360,37
361,14
362,20
363,32
364,45
365,49
366,35
367,16
368,34
369,26
370,48
371,28
372,25
373,34
374,32
375,47
376,35
377,14
378,25
379,13
380,37
